year,GNI,country,cpi
2007,36803.56414,France,95.71345616
2008,36688.39135,France,98.40574355
2009,35752.85814,France,98.49196713
2010,36133.0309,France,100
2011,36599.80718,France,102.111598
2012,36333.69277,France,104.107058
2013,36506.16801,France,105.0062468
2014,36800.94587,France,105.5394253
2015,37444.47319,France,105.5790178
2016,37858.79309,France,105.7725809
2017,38509.41285,France,106.864453
2018,38997.77529,France,108.8423164
2019,39674.06207,France,110.0485668
2020,36372.69969,France,110.5729469
2000,37936.54409,United Kingdom,81.4684668
2001,38881.75862,United Kingdom,82.71684853
2002,40016.88482,United Kingdom,83.97447753
2003,41237.26202,United Kingdom,85.13038654
2004,41961.98748,United Kingdom,86.31403736
2005,42965.04359,United Kingdom,88.11725541
2006,43201.84396,United Kingdom,90.28111707
2007,43498.44466,United Kingdom,92.43573146
2008,42567.44683,United Kingdom,95.69077122
2009,40851.01092,United Kingdom,97.56796745
2010,41841.61413,United Kingdom,100
2011,42048.19742,United Kingdom,103.8561124
2012,41875.72129,United Kingdom,106.5285741
2013,42203.37599,United Kingdom,108.9698539
2014,43418.3395,United Kingdom,110.5511374
2015,44321.82852,United Kingdom,110.9580174
2016,44917.5325,United Kingdom,112.0769373
2017,45963.34937,United Kingdom,114.9435916
2018,46420.13741,United Kingdom,117.5790642
2019,47450.33923,United Kingdom,119.6227113
2020,42692.81536,United Kingdom,120.8063621
2000,49152.04708,United States,78.97072076
2001,49425.52345,United States,81.20256846
2002,49655.18396,United States,82.49046688
2003,50303.71326,United States,84.36307882
2004,51733.44079,United States,86.62167812
2005,52938.56062,United States,89.56053237
2006,54280.23355,United States,92.44970508
2007,54144.86702,United States,95.08699238
2008,52734.10894,United States,98.73747739
2009,51466.5391,United States,98.38641997
2010,52899.77156,United States,100
2011,53566.76534,United States,103.1568416
2012,54983.23496,United States,105.2915045
2013,55472.64307,United States,106.8338489
2014,56846.80159,United States,108.5669321
2015,58180.98313,United States,108.695722
2016,58460.25274,United States,110.0670089
2017,59646.73107,United States,112.4115573
2018,61050.36168,United States,115.1573032
2019,62014.02221,United States,117.2441955
2020,59550.4438,United States,118.6905016
